chokepoint,risk_premium,pair,base_cost,security_cost,delta_cost,pct_increase
Bab_el_Mandeb,0.1,Antwerp__Manzanillo_MX,13623.192591413008,13623.192591413008,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Miami,8134.037662181993,8134.037662181993,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Mombasa,11176.631631969129,11322.235155652303,145.603523683174,1.3027495982483337
Bab_el_Mandeb,0.1,Antwerp__Mumbai,12276.158642145332,12421.762165828506,145.603523683174,1.1860674656264372
Bab_el_Mandeb,0.1,Antwerp__New_York,6411.9352058698805,6411.9352058698805,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Norfolk,6737.299132054215,6737.299132054215,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Novorossiysk,6452.09884434702,6452.09884434702,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Odessa,6249.980845005735,6249.980845005735,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Piraeus,5053.873176719802,5053.873176719802,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Port_Klang,16882.142851430537,17027.74637511371,145.603523683174,0.8624706292592236
Bab_el_Mandeb,0.1,Antwerp__Port_Said,6301.257942020086,6301.257942020086,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Rotterdam,78.03256884067629,78.03256884067629,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Santos,13248.385774696784,13248.385774696784,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Savannah,7426.840995632878,7426.840995632878,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Shanghai,21055.933862964965,21201.53738664814,145.603523683174,0.691508268551671
Bab_el_Mandeb,0.1,Antwerp__Shenzhen,19910.29737772598,20055.900901409153,145.603523683174,0.7312975839630771
Bab_el_Mandeb,0.1,Antwerp__Singapore,17215.11123753112,17360.714761214294,145.603523683174,0.8457890377480679
Bab_el_Mandeb,0.1,Antwerp__St_Petersburg,1995.3246752130492,1995.3246752130492,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Stockholm,1301.3825008000535,1301.3825008000535,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Tangier_Med,2479.690843918986,2479.690843918986,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Tokyo,22814.35718612062,22959.960709803792,145.603523683174,0.6382100643701397
Bab_el_Mandeb,0.1,Antwerp__Valparaiso,15485.139578725046,15485.139578725046,0.0,0.0
Bab_el_Mandeb,0.1,Antwerp__Vancouver,17536.75595069641,17536.75595069641,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Bandar_Abbas,21494.775232539632,21494.775232539632,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Barcelona,13368.592759238125,13368.592759238125,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Basra,22505.063272611787,22505.063272611787,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Bremerhaven,11030.495328469226,11030.495328469226,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Buenos_Aires,7943.966267130634,7943.966267130634,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Busan,15393.89157625036,15393.89157625036,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Callao,2352.9513518667036,2352.9513518667036,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Cartagena,1767.053061561272,1767.053061561272,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Colombo,21467.67894130488,21467.67894130488,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Colon,67.37517131664947,67.37517131664947,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Constanta,15991.642024628789,15991.642024628789,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Dakar,11025.143029208077,11025.143029208077,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Dammam,22001.924363654343,22001.924363654343,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Djibouti,19047.45043328367,19047.45043328367,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Dubai,21513.827386962657,21513.827386962657,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Durban,13857.209511585632,13857.209511585632,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Felixstowe,10486.333002559615,10486.333002559615,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Gdansk,11686.992717824804,11686.992717824804,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Genoa,14013.843160391982,14013.843160391982,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Halifax,5423.94329277546,5423.94329277546,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Hamburg,11112.455359892056,11112.455359892056,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Helsinki,12014.262030925767,12014.262030925767,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Hong_Kong,17437.614096942176,17437.614096942176,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Houston,4019.1635023018484,4019.1635023018484,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Jebel_Ali,21546.49540444545,21546.49540444545,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Jeddah,17769.64431980655,17769.64431980655,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Kaohsiung,17171.636473459148,17171.636473459148,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Lagos,12647.753671493288,12647.753671493288,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Le_Havre,10372.246358836042,10372.246358836042,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Los_Angeles,5028.6219403481455,5028.6219403481455,0.0,0.0
Bab_el_Mandeb,0.1,Balboa__Manzanillo_MX,2890.9815012777935,2890.9815012777935,0.0,0.0
